Trade ID,Order ID,Client ID,Trade Type,Quantity,Price,Trade Value,Currency,Trade Date,Settlement Date,,Counterparty,Trading Venue,Trader Name,Confirmation Status,Country of Trade,Ops Team Notes
TID00001,OID00001,CID5962,Buy,942,721.36,679521.12,USD,1/24/2024,1/26/2024,,Citibank,IEX,Trader A,Failed,US,Clean
TID00002,OID00002,CID2693,Sell,916,742.23,679882.68,GBP,1/18/2024,1/20/2024,,Goldman Sachs,IEX,Trader A,Settled,UK,Escalated
TID00003,OID00003,CID5299,Sell,928,1253,1162784,EUR,3/31/2024,4/2/2024,,Morgan Stanley,BATS,Trader D,Failed,DE,Reviewed
TID00004,OID00004,CID4233,Sell,528,722.5,381480,USD,2/10/2024,2/12/2024,,Citibank,NASDAQ,Trader B,Failed,US,Reviewed
TID00005,OID00005,CID7506,Buy,623,1165.74,726256.02,GBP,1/20/2024,1/22/2024,,Citibank,NASDAQ,Trader C,Confirmed,US,Reviewed
TID00006,OID00006,CID1598,Sell,514,707.02,363408.28,USD,2/18/2024,2/20/2024,,Citibank,NYSE,Trader C,Confirmed,US,Reviewed
TID00007,OID00007,CID8072,Buy,121,1228.6,148660.6,GBP,2/18/2024,2/20/2024,,Morgan Stanley,NASDAQ,Trader A,Confirmed,DE,Escalated
TID00008,OID00008,CID7079,Sell,730,1335.37,974820.1,EUR,4/3/2024,4/5/2024,,JPMorgan,BATS,Trader A,Settled,US,Escalated
TID00009,OID00009,CID8079,Sell,386,1196.81,461968.66,USD,2/17/2024,2/19/2024,,JPMorgan,NASDAQ,Trader C,Failed,US,Clean
TID00010,OID00010,CID3450,Sell,629,1057.79,665349.91,GBP,1/24/2024,1/26/2024,,Citibank,BATS,Trader A,Pending,UK,Manual Check
TID00011,OID00011,CID1825,Buy,176,1009.04,177591.04,EUR,2/27/2024,2/29/2024,,JPMorgan,NASDAQ,Trader D,Confirmed,DE,Reviewed
TID00012,OID00012,CID5493,Sell,859,1354.3,1163343.7,EUR,3/28/2024,3/30/2024,,Citibank,NASDAQ,Trader A,Failed,DE,Escalated
TID00013,OID00013,CID4114,Buy,274,1355.76,371478.24,GBP,1/22/2024,1/24/2024,,Morgan Stanley,BATS,Trader A,Pending,UK,Reviewed
TID00014,OID00014,CID3503,Buy,263,1463.38,384868.94,GBP,4/16/2024,4/18/2024,,JPMorgan,BATS,Trader A,Settled,DE,Clean
TID00015,OID00015,CID8748,Buy,296,572.37,169421.52,USD,3/31/2024,4/2/2024,,Citibank,IEX,Trader B,Failed,UK,Clean
TID00016,OID00016,CID3859,Sell,353,1071.12,378105.36,GBP,3/26/2024,3/28/2024,,Morgan Stanley,NYSE,Trader B,Pending,UK,Escalated
TID00017,OID00017,CID1786,Buy,450,1182.04,531918,USD,3/15/2024,3/17/2024,,JPMorgan,BATS,Trader D,Settled,UK,Clean
TID00018,OID00018,CID3588,Buy,504,402.89,203056.56,GBP,2/29/2024,3/2/2024,,Goldman Sachs,NYSE,Trader A,Pending,US,Escalated
TID00019,OID00019,CID9597,Sell,671,910.42,610891.82,USD,3/8/2024,3/10/2024,,Citibank,IEX,Trader B,Pending,UK,Escalated
TID00020,OID00020,CID2179,Buy,724,784.03,567637.72,EUR,1/21/2024,1/23/2024,,Citibank,IEX,Trader C,Failed,US,Reviewed
TID00021,OID00021,CID3462,Sell,423,1210.3,511956.9,USD,3/9/2024,3/11/2024,,Morgan Stanley,NYSE,Trader C,Confirmed,US,Clean
TID00022,OID00022,CID6403,Sell,688,313.15,215447.2,EUR,3/29/2024,3/31/2024,,Morgan Stanley,BATS,Trader C,Failed,US,Clean
TID00023,OID00023,CID5173,Buy,997,1061.27,1058086.19,USD,2/4/2024,2/6/2024,,Citibank,NYSE,Trader C,Pending,US,Reviewed
TID00024,OID00024,CID1575,Sell,471,1405.76,662112.96,GBP,3/28/2024,3/30/2024,,Citibank,NYSE,Trader C,Pending,DE,Reviewed
TID00025,OID00025,CID9500,Sell,11,1269.24,13961.64,GBP,3/10/2024,3/12/2024,,Goldman Sachs,BATS,Trader D,Settled,DE,Reviewed
TID00026,OID00026,CID2619,Buy,696,1274.73,887212.08,GBP,4/1/2024,4/3/2024,,Citibank,NYSE,Trader A,Confirmed,DE,Escalated
